board_state,score
01-1-11-1-10-1,1
001-11-10-11,1
100011-10-1,-1
011-100-1-11,1
11-1-1-1-10-10,1
-1-110-101-1-1,1
-10-1-10101-1,0
1010-10-1-11,1
1-10-11-1010,1
-10-1-1-10011,1
-1-1000111-1,0
-1-1-10010-11,-1
-1-1110-1010,1
10-1101-1-10,1
-10001-1-11-1,0
11-1-100001,-1
1-1-1-11-1-100,1
01-1-10-1011,1
0101-11-10-1,1
0-1-1-11-1-1-10,0
-110-10-110-1,0
001-10-11-1-1,1
-1-101-11-100,-1
0100-11-11-1,1
0-11-100101,1
-11100-1010,-1
0-1-1-1-1-101-1,1
01-1-1-110-10,1
-10-1-1-1-1011,1
11-1001-10-1,0
-1-11-110-10-1,0
10100-11-1-1,1
-11-10-1100-1,1
11-10-1-1-100,-1
1-1-100-1-101,1
01-1-10-11-1-1,1
0-1010-1-1-11,1
-100011-101,-1
1-1-1-101010,1
-100-10-1-111,-1
-10-11-1-1-10-1,-1
0010-1-1-11-1,-1
101-1100-1-1,0
-1-1-10-1-10-11,1
-11-10-1-1100,-1
1-1-1-1-10-110,1
0-10110-11-1,1
-11-101-1-1-10,0
0111-1-10-10,1
-11-1-1-1001-1,1
-11000-11-1-1,0
1-1-111000-1,1
11-1-1-10-100,-1
-1100011-10,0
101100-1-10,-1
01-11-1-100-1,0
11001-1-1-10,1
-11100-1-1-10,-1
01-101010-1,-1
1001-1001-1,1
0010011-1-1,-1
100-1110-1-1,-1
-11-110-100-1,1
-1-11-1-1100-1,1
-1-10-110-11-1,1
01-1110-1-10,1
001-10-1-1-11,-1
-101-1-10110,1
-1-111100-10,1
01-10-10-11-1,-1
-11-100101-1,1
01010-1-1-11,1
-1-1-11-1-1100,-1
11-11-1000-1,1
110-100-101,1
1-1-1100-1-10,-1
0011-10-11-1,0
001-1-1-1-1-1-1,-1
0-10-1-110-11,1
-10-1-1101-1-1,1
100-1-1-101-1,0
0-110-11-1-10,1
-1-101-1-1-1-10,1
-1110-10010,-1
01100-110-1,1
-1-101-11100,-1
0-110-1-1-11-1,1
1-101-11-100,1
-1-1-100-1-111,1
-1-11100-110,1
100-11010-1,-1
-1-1-1-1-1-11-10,1
-1011-1100-1,1
0-1-111-10-10,-1
1-1-101-1-10-1,0
0-1-100-111-1,-1
-101-10011-1,1
